Date,Time,Views,Caption,Hashtags
2023-11-08,13:04:26,46681,"Android & iPhone user 😨😨 @ManojSaru
.
.
.
.
.
.
.
.
.
.
.
.
#Android #iPhone #Camera #Tech #Technology #Alert #TechnologyGyan #ManojSaru #Gadgets #Learn #Howto #phone #Mobile","#Android, #iPhone, #Camera, #Tech, #Technology, #Alert, #TechnologyGyan, #ManojSaru, #Gadgets, #Learn, #Howto, #phone, #Mobile"
2023-11-05,13:58:42,211395,"OnePlus Open - Quick Unboxing 🫨
follow @ManojSaru for Crazy TechVideos👀
.
.
.
.
.
.
.
.
.
.
#onePlusOpen #OnePlus #OnePlusFold #OnePlusOpen #TechnologyGyan #ManojSaru #Unboxing #Tech #Gadgets #Unbox #OnePlusMobile #Fold","#onePlusOpen, #OnePlus, #OnePlusFold, #OnePlusOpen, #TechnologyGyan, #ManojSaru, #Unboxing, #Tech, #Gadgets, #Unbox, #OnePlusMobile, #Fold"
2023-11-03,13:36:43,198789,"Quick Unboxing - Pixel 8 Series 👀 @manojsaru
.
.
.
.
.
.
.
.
.
.
.
.
#pixel8Series #Pixel8 #Pixel8Pro #GooglePixel #ManojSaru #TechnologyGyan #ManojSaru #Unboxing #Smartphone #Gadgets #Tech #Technology #Phone #Unbox #","#pixel8Series, #Pixel8, #Pixel8Pro, #GooglePixel, #ManojSaru, #TechnologyGyan, #ManojSaru, #Unboxing, #Smartphone, #Gadgets, #Tech, #Technology, #Phone, #Unbox"
2023-10-25,12:01:45,255403,"Oppo ka new phone 👀 #OPPOFindN3Flip 
.
.
.
.
.
.
.
.
.
.
.
.
#oppo #phone #Tech #TechnologyGyan #ManojSaru #Gadgets #Oppofind #Unboxing","#OPPOFindN3Flip, #oppo, #phone, #Tech, #TechnologyGyan, #ManojSaru, #Gadgets, #Oppofind, #Unboxing"
2023-10-19,17:03:42,162689,Welcome to the family❤️🚗,
2023-09-26,15:44:53,99612,"CMF by Nothing 👀 @ManojSaru#.
.
.
.
.
.
.
.
#cmfbynothing #nothing #nothingsmartwatch #Unboxing #Tech #Gadgets #ManojSaru #TechnologyGyan #Technology #Earphone #Charger #Smartwatch","#cmfbynothing, #nothing, #nothingsmartwatch, #Unboxing, #Tech, #Gadgets, #ManojSaru, #TechnologyGyan, #Technology, #Earphone, #Charger, #Smartwatch"
2023-09-23,13:02:24,109992,"Quick Unboxing iPhone 15 Pro Max - @ManojSaru
.
.
.
.
.
.
.
.
.
.
.
.
#iphone #iphone15Pro #iPhone15 #iphone15Series #iPhone15ProMax #apple #TechnologyGyan #ManojSaru #Tech #Technology","#iphone, #iphone15Pro, #iPhone15, #iphone15Series, #iPhone15ProMax, #apple, #TechnologyGyan, #ManojSaru, #Tech, #Technology"
2023-09-14,09:46:13,205564,"iphone 15 Series 👀 Follow 👉 @manojsaru

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#iphone15 #Apple #iphone15Plus #iphone15Pro #iphone15ProMax #Tech #TechnologyGyan #Manojsaru #Unboxing #Gadgets #iphone","#iphone15, #Apple, #iphone15Plus, #iphone15Pro, #iphone15ProMax, #Tech, #TechnologyGyan, #Manojsaru, #Unboxing, #Gadgets, #iphone"
2023-09-03,13:02:59,41301,Caption batao  kya likhu🫠🫠 ?? #London #bigben,"#London, #bigben"
2023-08-25,15:05:31,206392,"Try This 🤫🤫 @ManojSaru
.
.
.
.
.
.
.
.
.
.
.
.
#Tips #Tricks #WhatsApp #whatsapptricks #howto #Tech #TechnologyGyan #ManojSaru #Gadgets #learn #Mobile ##","#Tips, #Tricks, #WhatsApp, #whatsapptricks, #howto, #Tech, #TechnologyGyan, #ManojSaru, #Gadgets, #learn, #Mobile"
2023-08-21,13:39:08,441757,"3 New Features @manojsaru 
.
.
.
.
.
.
.
.
.
.
.
.
.
#howto #whatsApp #Phone #Tips #tricks #Tech #TechnologyGyan #Technology #ManojSaru #learn","#howto, #whatsApp, #Phone, #Tips, #tricks, #Tech, #TechnologyGyan, #Technology, #ManojSaru, #learn"
2023-08-02,14:35:15,93726,"FOLD vs IPhone 🫨 @ManojSaru
.
.
.
.
.
.
.
.
.
#Tips #Tricks #iPhone #Fold #SamsungGalaxyFold5 #SamsungPhone #Samsung #Android #Tech #Gadgets","#Tips, #Tricks, #iPhone, #Fold, #SamsungGalaxyFold5, #SamsungPhone, #Samsung, #Android, #Tech, #Gadgets"
2023-07-11,16:19:31,241730,"Nothing phone 2 Quick Unboxing @ManojSaru
.
.
.
.
.
.
.
.
.
#nothingPhone2 #phone2 #Nothing #Nothingphone1 #Nothingphone #Unboxing #ManonSaru #TechnologyGyan #Tech #Unbox","#nothingPhone2, #phone2, #Nothing, #Nothingphone1, #Nothingphone, #Unboxing, #ManonSaru, #TechnologyGyan, #Tech, #Unbox"
2023-07-06,08:32:13,26691,reel vs real 😅🤣>> Swipe,
2023-07-05,15:26:39,85460,"OnePlus Nord3 - @ManojSaru
.
.
.
.
.
.
.
.
.
.
.
#OnePlusNord3 #Oneplus #Smartphone #OnePlusNord35G #Tech #TechnologyGyan #ManojSaru  #Gadgets #Unboxing","#OnePlusNord3, #Oneplus, #Smartphone, #OnePlusNord35G, #Tech, #TechnologyGyan, #ManojSaru, #Gadgets, #Unboxing"
