Date,Time,Views,Likes,Comments,Caption,Hashtags
08-11-2023,13:04:26,481067,97735,311,"Android & iPhone user 😨😨 @ManojSaru
.
.
.
.
.
.
.
.
.
.
.
.
#Android #iPhone #Camera #Tech #Technology #Alert #TechnologyGyan #ManojSaru #Gadgets #Learn #Howto #phone #Mobile","#Android, #iPhone, #Camera, #Tech, #Technology, #Alert, #TechnologyGyan, #ManojSaru, #Gadgets, #Learn, #Howto, #phone, #Mobile"
05-11-2023,13:58:42,1675409,259089,303,"OnePlus Open - Quick Unboxing 🫨
follow @ManojSaru for Crazy TechVideos👀
.
.
.
.
.
.
.
.
.
.
#onePlusOpen #OnePlus #OnePlusFold #OnePlusOpen #TechnologyGyan #ManojSaru #Unboxing #Tech #Gadgets #Unbox #OnePlusMobile #Fold","#onePlusOpen, #OnePlus, #OnePlusFold, #OnePlusOpen, #TechnologyGyan, #ManojSaru, #Unboxing, #Tech, #Gadgets, #Unbox, #OnePlusMobile, #Fold"
03-11-2023,13:36:43,1633406,211660,336,"Quick Unboxing - Pixel 8 Series 👀 @manojsaru
.
.
.
.
.
.
.
.
.
.
.
.
#pixel8Series #Pixel8 #Pixel8Pro #GooglePixel #ManojSaru #TechnologyGyan #ManojSaru #Unboxing #Smartphone #Gadgets #Tech #Technology #Phone #Unbox #","#pixel8Series, #Pixel8, #Pixel8Pro, #GooglePixel, #ManojSaru, #TechnologyGyan, #ManojSaru, #Unboxing, #Smartphone, #Gadgets, #Tech, #Technology, #Phone, #Unbox"
25-10-2023,12:01:45,1311450,256742,646,"Oppo ka new phone 👀 #OPPOFindN3Flip 
.
.
.
.
.
.
.
.
.
.
.
.
#oppo #phone #Tech #TechnologyGyan #ManojSaru #Gadgets #Oppofind #Unboxing","#OPPOFindN3Flip, #oppo, #phone, #Tech, #TechnologyGyan, #ManojSaru, #Gadgets, #Oppofind, #Unboxing"
19-10-2023,17:03:42,988939,164959,1402,Welcome to the family❤️🚗,
26-09-2023,15:44:53,585231,99984,300,"CMF by Nothing 👀 @ManojSaru#.
.
.
.
.
.
.
.
#cmfbynothing #nothing #nothingsmartwatch #Unboxing #Tech #Gadgets #ManojSaru #TechnologyGyan #Technology #Earphone #Charger #Smartwatch","#cmfbynothing, #nothing, #nothingsmartwatch, #Unboxing, #Tech, #Gadgets, #ManojSaru, #TechnologyGyan, #Technology, #Earphone, #Charger, #Smartwatch"
23-09-2023,13:02:24,546028,110199,357,"Quick Unboxing iPhone 15 Pro Max - @ManojSaru
.
.
.
.
.
.
.
.
.
.
.
.
#iphone #iphone15Pro #iPhone15 #iphone15Series #iPhone15ProMax #apple #TechnologyGyan #ManojSaru #Tech #Technology","#iphone, #iphone15Pro, #iPhone15, #iphone15Series, #iPhone15ProMax, #apple, #TechnologyGyan, #ManojSaru, #Tech, #Technology"
14-09-2023,09:46:13,932037,205737,403,"iphone 15 Series 👀 Follow 👉 @manojsaru

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#iphone15 #Apple #iphone15Plus #iphone15Pro #iphone15ProMax #Tech #TechnologyGyan #Manojsaru #Unboxing #Gadgets #iphone","#iphone15, #Apple, #iphone15Plus, #iphone15Pro, #iphone15ProMax, #Tech, #TechnologyGyan, #Manojsaru, #Unboxing, #Gadgets, #iphone"
03-09-2023,13:02:59,0,41317,316,Caption batao  kya likhu🫠🫠 ?? #London #bigben,"#London, #bigben"
25-08-2023,15:05:31,1081460,206845,1172,"Try This 🤫🤫 @ManojSaru
.
.
.
.
.
.
.
.
.
.
.
.
#Tips #Tricks #WhatsApp #whatsapptricks #howto #Tech #TechnologyGyan #ManojSaru #Gadgets #learn #Mobile ##","#Tips, #Tricks, #WhatsApp, #whatsapptricks, #howto, #Tech, #TechnologyGyan, #ManojSaru, #Gadgets, #learn, #Mobile"
21-08-2023,13:39:08,2273608,442828,1354,"3 New Features @manojsaru 
.
.
.
.
.
.
.
.
.
.
.
.
.
#howto #whatsApp #Phone #Tips #tricks #Tech #TechnologyGyan #Technology #ManojSaru #learn","#howto, #whatsApp, #Phone, #Tips, #tricks, #Tech, #TechnologyGyan, #Technology, #ManojSaru, #learn"
02-08-2023,14:35:15,427267,93831,344,"FOLD vs IPhone 🫨 @ManojSaru
.
.
.
.
.
.
.
.
.
#Tips #Tricks #iPhone #Fold #SamsungGalaxyFold5 #SamsungPhone #Samsung #Android #Tech #Gadgets","#Tips, #Tricks, #iPhone, #Fold, #SamsungGalaxyFold5, #SamsungPhone, #Samsung, #Android, #Tech, #Gadgets"
