Date,Time,Views,Caption,Hashtags
2023-10-04,09:13:07,50239,"I had this in mind ki kabhi toh Million par leke jaunga iss account ko. Lekin itni jldi sab hoga, ye nahi socha tha. And ab 2M is like a big big thing for me. I’m very lucky to have such an amazing audience like you guys! Ab isse bhi zada amazing cheezein krne vaale hain. Also if you want to reach a certain point in life, first step is the most important thing. And then consistency with regular improvement is all it takes to achieve whatever you want!!
#2m #2million #milestone #thankyou","#2m, #2million, #milestone, #thankyou"
2022-11-25,06:33:31,37102,"Jumping off a Plane ✈️ from 13,000 ft over the Palm Island : Check ✅
Skydiving in Dubai was on my Bucket List since long time.
And this wonderful experience can’t be expressed here in words 💯

PS: Because you only live once 😌🤘🏼
#skydivedubai #skydiving #techiela #skydive","#skydivedubai, #skydiving, #techiela, #skydive"
2023-11-07,12:37:13,150935,"👉🏻All links in my Bio ✅

🔦Apko konsi sbse useful lagi ? 😍
- Motion Sensor Lights 🚶‍♂️🌌: Enhance safety by auto-activating in your presence, energy-efficient with a 20-second auto-off. Rechargeable via Micro-USB, they offer versatility and convenience.

- Solar Panel Lights ☀️🌞: Harness sunlight by placing them outdoors. Get 8 hours of illumination after a sunny day, waterproof for rainy nights.

- Flexible Reading Light 💡📖: Perfect for late-night reading. Charge it directly with an adapter, power bank, laptop, or car’s USB port.

- Plug-in Light for Nighttime 🌙🔌: Create a gentle bedroom glow for easy visibility and organization.

Follow @tech_iela for more! 
#gadgets #tech #techno #techreels #techgadgets
#lights #amazonfinds #techreels #technology #techiela #tipsandtricks #unique","#gadgets, #tech, #techno, #techreels, #techgadgets, #lights, #amazonfinds, #techreels, #technology, #techiela, #tipsandtricks, #unique"
2023-11-05,12:39:46,91073,"🌟 E-Sanjeevani: Your Gateway to Affordable Healthcare** 🌟
- 🏥🩺In this Initiative, Private doctors offer free consultations and prescribe medications through this platform.

•📱 How to Access E-Sanjeevani
- 🖥️ Visit “eSanjeevani OPD” on Google Or Download “E- Sanjeevni” App.
- 🔒 Register with your mobile number and OTP.
- 👩‍⚕️ Log in and consult with doctors, sharing your medical details.
- 🌡️ Provide information on your illness, its duration, temperature, and related concerns.
- 🌏 Choose your state and OPD to connect directly with a doctor via video call.

📜 Valid Prescriptions Nationwide
- 📋 Prescriptions obtained are valid all over India.
- 🔄 You can also follow up with doctors regarding your condition.
- 💾 Save your video consultation for future reference.

🤝 Share the Goodness
- 🤲 This government initiative is a blessing. Share this video and help others access affordable healthcare.
- 🌐 Stay updated by following Techiela for more useful information.
#goverment #india #governmentapps #medical #indiangovernment #esanjeevni #benefits #healthcare #health #doctor #technology #techno #techiela #tipsandtricks #techtips #freemeditation","#goverment, #india, #governmentapps, #medical, #indiangovernment, #esanjeevni, #benefits, #healthcare, #health, #doctor, #technology, #techno, #techiela, #tipsandtricks, #techtips, #freemeditation"
2023-11-03,12:38:37,477780,"😅 Kon kon school mein thandi maggi khata hai ? 🍝
This is a Smart Tiffin - 🔥
 Warm your meal with a tap on your phone, from anywhere, anytime. 📱💼 No more cold lunches, just plug-in, connect, and enjoy a hot meal in 30 minutes. It also works with AI Assistants i.e. Google & Alexa 🕒🍽️ 
#smarthome #Technology #techiela #techno #tipsandtricks #amazonfinds #alexa #gadgets #techgadgets #tech #techtips #techhouse","#smarthome, #Technology, #techiela, #techno, #tipsandtricks, #amazonfinds, #alexa, #gadgets, #techgadgets, #tech, #techtips, #techhouse"
2023-11-01,12:38:41,223577,"Apko konsa better lga ? 😅
.
.
.
#techno #tech #techiela #techreels #techtricks  #techtips #flipphone #technology #smartphone #androidtips #iphonevsandroid","#techno, #tech, #techiela, #techreels, #techtricks, #techtips, #flipphone, #technology, #smartphone, #androidtips, #iphonevsandroid"
2023-10-30,12:45:14,343307,"🪔 All Links in my Bio 🧼
.
🪔 Diwali Gadgets: Light up your festivities with these must-have gadgets!

1. **Plasma Lighter ⚡🔥** - Price : ₹500
 - Create a high-voltage spark of 7 kilowatts at the touch of a button.
 - Flexible neck for easy lighting of diyas, cigarettes, and gas stoves.
 - Safe ignition for fireworks from a distance!
 - Convenient USB recharge, no refills needed.

2. **LED Cloud Lamp ☁✨** ₹2,000/-
 - Transform your ceiling into a mesmerizing cloud display.
 - A heavenly atmosphere for your Diwali celebrations.
 - Guaranteed to catch everyone’s eye.

3. **Aroma Diffuser 🔥🪄** Price : ₹1300-1500/-
 - Experience the magic of fire without the heat.
 - Emit a flame-like effect through scented mist.
 - Infuse your home with pleasant vibes using different essential oils.

4. **Laser Light Projector 🌟🔊** : Price : ₹600-700
 - Give your room a dazzling makeover with various designs and patterns.
 - Syncs with your music to change patterns dynamically.
 - Make your home stand out this Diwali!

Which one do you find the coolest? Stay tuned for Part 3 and subscribe for more! 🎉✨ #DiwaliGadgets #Diwali #AmazonFinds #techno #festival #technology #techiela #gadgets #techgadgets #tipsandtricks #techtips #festivevibes  #tech","#DiwaliGadgets, #Diwali, #AmazonFinds, #techno, #festival, #technology, #techiela, #gadgets, #techgadgets, #tipsandtricks, #techtips, #festivevibes, #tech"
2023-10-28,12:38:14,571579,"🫵🏻Aap hafte mein kitni bar nahate ho?🥶😆
Buying Link in Bio

.
.
.
#tech #techno #techiela #techreels #technology #gadgets #amazonfinds #techgadgets #winter #winteriscoming","#tech, #techno, #techiela, #techreels, #technology, #gadgets, #amazonfinds, #techgadgets, #winter, #winteriscoming"
2023-10-26,12:34:41,231358,"Kaise lage ye facts ?🏏 😆

- Cricket stumps: 3 stumps cost 30-35 lakhs.
- Breaking a stump incurs a 10 lakh fine by BCCI.
- A single bail costs 50k, equivalent to an iPhone 14.
- Live cricket matches use over 30 cameras, worth 2-2.5 crore.
- Umpires earn 1-2 lakhs per match and 24-31 lakhs annually.
- Aakash Chopra charges 5-6 lakhs per match for commentary.
- Advertisers pay 30 lakhs for a 10-sec ad slot.
- India vs. Pakistan matches command higher ad prices.
- Disney Hotstar can generate 3500 crore in ad revenue.
- The World Cup benefits the Indian economy by 13,500 crores.
- The winning team receives 4 million dollars (33 crores).
- Hoping for Rohit Sharma to bring the World Cup home! 🇮🇳

(India... India...) 🎉🏆
#cricket #worldcup #worldcup2023 #sports #rohitsharma #tech #techtricks #techiela #techtips #techno #technology","#cricket, #worldcup, #worldcup2023, #sports, #rohitsharma, #tech, #techtricks, #techiela, #techtips, #techno, #technology"
2023-10-24,12:21:19,44913,"Happy Diwali in Advance 🪔😀
All Links in Bio
#diwaligadgets #happydiwali #gadgets #techgadgets #amazonfinds #tech #techno #techiela #techreels #technology #techtricks","#diwaligadgets, #happydiwali, #gadgets, #techgadgets, #amazonfinds, #tech, #techno, #techiela, #techreels, #technology, #techtricks"
2023-10-22,12:42:11,83191,"🥦 Links in Bio🤤
These are 2 Bike Gadgets for you! 🏍️
1. 🚲 **Bike Disc Lock:** 
  Safeguard your ride with the Bike Disc Lock! 🛡️ Easily secure it to your bike’s disc brake, just press, and it’s locked in place. Made of heavy metal, it’s virtually thief-proof. Keep your bike safe and sound with this robust gadget! 🔒 Price Around - ₹250/-

2. 🌞 **Bike Blazer:**
 Say hello to the Bike Blazer, your bike’s versatile friend! 🚴‍♂️ Attach it to your bike, and when not in use, pull the cover over to protect from sun, dust, and rain. It’s waterproof, keeping your bike dry, and it’s stylish too! Your bike’s best buddy in all weather! ☔🌞 Price Around - ₹899/-
.
#bike #bikegadgets #motorcycle #gadgets #amazonfinds #lock #security #safety #technology #theft #techiela #techno #techreels #tipsandtricks #techgadgets #tech","#bike, #bikegadgets, #motorcycle, #gadgets, #amazonfinds, #lock, #security, #safety, #technology, #theft, #techiela, #techno, #techreels, #tipsandtricks, #techgadgets, #tech"
2023-10-20,12:42:31,25250,"👉🏻 Buy from link in Bio👈🏻
Strict Dad isse dekh kar pighal gaye 🫠
@haram_khor_ challenged me to showcase the features of the new Oppo Find N3 Flip that I use in my day to day life.

🔥 Sale starts from 22nd October at 6PM on Flipkart !

📱 OPPO Find N3 Flip: Style, Performance, and Innovation in One!

🌟 Experience the ultimate blend of style, connectivity, and creativity with the OPPO Find N3 Flip.
📷 Capture stunning shots with a flagship triple camera system - Rear (50MP main + 48MP Ultra Wide +32MP Telephoto) & Front (32MP Sony IMX709 Selfie Camera)
👌 Almost invisible screen crease for an uninterrupted view.
💎 Exquisite design with Cosmos Ring and Starlight Track styling.
🔗 Quick mode switching with the Alert Slider.
🎨 Choose from Cream Gold or Sleek Black finishes.
🔋 All-day usage with a high-capacity battery.
⚡ 44W SUPERVOOC fast charging for rapid power-ups.
💪 Powered by MediaTek Dimensity 9200 chipset.
🌈 Vibrant visuals on a 6.8” AMOLED screen with reduced power consumption.
💯 Certified by TÜV Rheinland for durability (600,000 folds).
📊 OPPO Computational Photography and ProXDR for stunning image quality.
🌐 High-quality connectivity for seamless experiences.
This video is made in #collab with @oppoindia 
#OppoFindN3Flip #flipphone #tech #techno #techreels #techiela #tech #smartphonehacks #tipsandtricks #comedy #funny #technology #TheBestFlip #techgadgets 
#MadeToBeIconic","#collab, #OppoFindN3Flip, #flipphone, #tech, #techno, #techreels, #techiela, #tech, #smartphonehacks, #tipsandtricks, #comedy, #funny, #technology, #TheBestFlip, #techgadgets, #MadeToBeIconic"
