Date,Time,Views,Caption,Hashtags
2022-11-04,15:15:15,42044,"Apple Watch Ultra Clone 🤩
The Perfect Clone At Rs 3,999/- Only 
.
To Buy DM :- @new.device.store ✅
.
#appleclone #applewatch #applewatchclone #applewatchultra #applewatchultraclone #uniquegadgets #gadgets #techunboxing #techreels #iwatchclone #smartwatch #techfreak","#appleclone, #applewatch, #applewatchclone, #applewatchultra, #applewatchultraclone, #uniquegadgets, #gadgets, #techunboxing, #techreels, #iwatchclone, #smartwatch, #techfreak"
2023-11-07,13:07:27,1144,"3D Pen At Just Rs 749/- Only 🤩
.
Comes with filaments in the box & If you had to order it 20 filament will cost you just Rs 499/- ✅
.
#3dpen #3dprinting #gadget #amazongadgets #techunboxing #uniquegadgets #techreels #technology #toptech #topgadgets #3dpenart #gadgetstore #gadgetshop #techgadgets","#3dpen, #3dprinting, #gadget, #amazongadgets, #techunboxing, #uniquegadgets, #techreels, #technology, #toptech, #topgadgets, #3dpenart, #gadgetstore, #gadgetshop, #techgadgets"
2023-11-02,11:21:39,926,"Portronics ilumi Lamp 🛋️ With Bluetooth Speaker 🔊 
Can Be Used For Calling As Well 📞 
.
Comes With 2000mAh Battery 🔋 
5 Hours Playback Time 🕰️ 
.
#speaker #bluetoothspeaker #potronics #techunboxing #uniquegadgets #lamp #speakerlamp #amazon #amazongadgets #tech #techreels #technology #toptech","#speaker, #bluetoothspeaker, #potronics, #techunboxing, #uniquegadgets, #lamp, #speakerlamp, #amazon, #amazongadgets, #tech, #techreels, #technology, #toptech"
2023-11-01,15:20:10,685,"Subtle Vibes, Strong Impact !! ✨
.
.
.
#subtle #blazer #formalwear #formal #fashion #techunboxing #hustle #alwaysandforever","#subtle, #blazer, #formalwear, #formal, #fashion, #techunboxing, #hustle, #alwaysandforever"
2023-11-01,11:47:18,804,"Fire-Boltt Expedition GPS Smartwatch 🤩
At just Rs 1,999/- Only ✅ 
.
Key Specs :- 
1.39” Round Display 
360*360 Resolution 
GPS Built In
120+ Sports Mode 
Heart Rate SpO2 Monitoring 
300mAh Battery 
Bluetooth Calling 
.
#firebolt #smartwatch #fitnesstracker #gpssmartwatch #tech #gadget #uniquegadgets #firebolttsmartwatch #techunboxing #callingsmartwatch #bestsmartwatch #amazongadgets #techreels #rugged","#firebolt, #smartwatch, #fitnesstracker, #gpssmartwatch, #tech, #gadget, #uniquegadgets, #firebolttsmartwatch, #techunboxing, #callingsmartwatch, #bestsmartwatch, #amazongadgets, #techreels, #rugged"
2023-10-28,12:37:50,765,"Finally Apple Watch Series 9 / Ultra 2 Double Tab Feature Is out 🤩
Watch OS 10.1 ✅ 
.
Waise guys apko ye feature kaise laga comment jaroor karnar !!
.
#applewatch #applewatchultra2 #applewatchseries #applewatchseries9 #smartwatch #doubletap #watchos #applesmartwatch #uniquegadgets #amazongadgets #techreels #techunboxing #technology","#applewatch, #applewatchultra2, #applewatchseries, #applewatchseries9, #smartwatch, #doubletap, #watchos, #applesmartwatch, #uniquegadgets, #amazongadgets, #techreels, #techunboxing, #technology"
2023-10-25,12:31:45,841,"Ultimate Party Speaker From Sony 🤩
Sony SRS XV 800 Speaker 🔊
.
Key Specs :- 
Omni Directional Sound 
TV Booster Feature 
Ambient RGB Light 
Karaoke & Guitar Input 
Built In Battery 🔋 
& More 
.
#sony #sonyspeakers #bluetoothspeaker #partyspeaker #speaker #karaoke #guitar #bestspeaker #sonyxv800 #techunboxing #uniquegadgets #amazongadgets #amazon #techreels #technology","#sony, #sonyspeakers, #bluetoothspeaker, #partyspeaker, #speaker, #karaoke, #guitar, #bestspeaker, #sonyxv800, #techunboxing, #uniquegadgets, #amazongadgets, #amazon, #techreels, #technology"
2023-10-20,12:05:26,1181,"OnePlus Open First Look 🤩
Priced At Rs 1,39,900/- ✅
.
Waise Apko Iski Pricing Kaise Lagi Comment Jaroor Karna !
.
#oneplus #oneplusopen #foldablephone #fold #android #oneplusindia #newsmartphone #foldphone #curveddisplay #upcomingsmartphone #uniquegadgets #gadgets #amazongadgets #techunboxing","#oneplus, #oneplusopen, #foldablephone, #fold, #android, #oneplusindia, #newsmartphone, #foldphone, #curveddisplay, #upcomingsmartphone, #uniquegadgets, #gadgets, #amazongadgets, #techunboxing"
2023-10-18,12:48:57,1037,"Portronics Pixel 8W Portable Bluetooth Speaker 🔈 
with 32 LED Displays Animation 🤩
.
8W speaker 
No AUX ❌ 
No FM Radio ❌ 
.
#speaker #bluetoothspeaker #bluetooth #portable #portablespeaker #amazongadgets #uniquegadgets #techgadgets #techreels #techunboxing #flipkart #gadget #gadgets","#speaker, #bluetoothspeaker, #bluetooth, #portable, #portablespeaker, #amazongadgets, #uniquegadgets, #techgadgets, #techreels, #techunboxing, #flipkart, #gadget, #gadgets"
2023-10-16,14:28:41,2282,"OnePlus Pad Go Quick Review 🔥
Best Tab Under Rs 20,000/- 
Also Comes With SİM Support ✅
.
 Key Specs :-
8 GB RAM | 128 GB ROM
28.83 cm (11.35 inch) Display
8.0 MP Primary Camera | 8 MP Front
Android Oxygen OS 13.2 | Battery: 8000 mAH
Processor: Mediatek Helio G99
.
#oneplus #onepluspad #onepluspadgo #androidtablet #tab #tablet #android #androidtablet #gadget #amazongadgets #techunboxing #tech #techreels #smartphone","#oneplus, #onepluspad, #onepluspadgo, #androidtablet, #tab, #tablet, #android, #androidtablet, #gadget, #amazongadgets, #techunboxing, #tech, #techreels, #smartphone"
2023-10-13,13:34:29,1412,"Unique Gadget At Just Rs 630/- 🔥
Universal Battery Tester ✅
.
To Buy Check My Bio ✅
.
#uniquegadgets #gadgets #techunboxing #techreels #battery #batterytester #tech #amazongadgets #gadgetunder1000 #gadget #batterycharger #flipkart","#uniquegadgets, #gadgets, #techunboxing, #techreels, #battery, #batterytester, #tech, #amazongadgets, #gadgetunder1000, #gadget, #batterycharger, #flipkart"
2023-10-12,12:46:37,10172,"Dive into the brilliance of true-to-life visuals with Intel Evo laptops featuring OLED displays that bring every detail to life in stunning clarity. #intelevo #13thgen #12thgen #intelcore @intelindia
.
Link In The Bio 🔗","#intelevo, #13thgen, #12thgen, #intelcore"
2023-10-10,14:08:27,791,"Sony WF-1000XM5 Quick Review 🔥
Best Noise Cancellation Earbuds !!
.
Hi Res Audio Support 
Headphones Connect App 
In Ear Detection 
Alexa Built In & Many More Features ✅
.
#sony #sonywf1000xm5 #noisecancelling #noisecancellation #noisecancellingheadphones #tws #earbuds #anc #bestearbuds #techunboxing #sonytws #sonyearbuds #sonyheadphones #techunboxing #tech #techreels #amazongadgets","#sony, #sonywf1000xm5, #noisecancelling, #noisecancellation, #noisecancellingheadphones, #tws, #earbuds, #anc, #bestearbuds, #techunboxing, #sonytws, #sonyearbuds, #sonyheadphones, #techunboxing, #tech, #techreels, #amazongadgets"
2023-10-03,14:04:53,757,"vivo V29 Pro & vivo V29 First Look 🔥
Comes with smart Aura Light which changes the colour temperature automatically 🤩
.
More Specs Coming Soon 🔜 
.
#vivo #vivov29series #vivov29pro #vivov29 #android #smartauralight #auralight #smartphone #vivosmartphone #upcomingsmartphones #techunboxing #tech #gadgets #photography","#vivo, #vivov29series, #vivov29pro, #vivov29, #android, #smartauralight, #auralight, #smartphone, #vivosmartphone, #upcomingsmartphones, #techunboxing, #tech, #gadgets, #photography"
2023-10-01,12:35:58,1704,"Xiaomi Mix Fold 3 🤩 First Look !!
.
This foldable phone is powered by Leica Quad camera setup & has amazing foldable display with 120Hz refresh rate.
.
Top of that has 50W wireless charging capability ✨
.
#xiaomi #xiaomimixfold3 #foldablephone #android #smartphone #leica #wirelesscharging #tech #techreels #techunboxing #gadgets #bestsmartphone #uniquegadgets","#xiaomi, #xiaomimixfold3, #foldablephone, #android, #smartphone, #leica, #wirelesscharging, #tech, #techreels, #techunboxing, #gadgets, #bestsmartphone, #uniquegadgets"
2023-09-28,13:44:27,251,"To Travel Is To Live ✨
.
.
.
#travel #work #formalwear #keepitsubtle #taj #keephustling #always #techunboxing #delhi #subtle #instagram","#travel, #work, #formalwear, #keepitsubtle, #taj, #keephustling, #always, #techunboxing, #delhi, #subtle, #instagram"
2023-09-22,14:15:29,964,"iPhone 15 Unboxing | 512GB Variant 🤩
.
All New Dynamic Island 
48MP New Camera 
Type C Port 
.
#techunboxing 
#apple #iphone15 #iphone15unboxing #iphone15series #appleiphone15 #tech","#techunboxing, #apple, #iphone15, #iphone15unboxing, #iphone15series, #appleiphone15, #tech"
2023-09-20,12:56:16,1010,"iPhone 15 Pro Max Quick Unboxing 🤩
All New Natural Titanium Colour ❤️
.
#apple #iphone15promax #iphone15 #iphone15pro #iphone15series #tech #appleiphone #iphones #techunboxing #gadgets","#apple, #iphone15promax, #iphone15, #iphone15pro, #iphone15series, #tech, #appleiphone, #iphones, #techunboxing, #gadgets"
2023-09-13,12:36:02,733,"Moto g54 5G 🤩
With Offer You Can Get This At Just Rs 14,499/- 💯
.
Key Specs :- 
8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
120Hz Refresh Rate 
50MP + 8MP | 16MP Front Camera
6000 mAh Battery
33W Turbo Charge 
Dimensity 7020 Processor
.
#moto #motorola #motog54 #android #smartphone #motorolag54 #gadget #tech #techreels #flipkart #uniquegadgets #techunboxing #phone #camerasmartphone","#moto, #motorola, #motog54, #android, #smartphone, #motorolag54, #gadget, #tech, #techreels, #flipkart, #uniquegadgets, #techunboxing, #phone, #camerasmartphone"
2023-09-12,13:02:21,530,"Infinix Zero 30 5G 🤩
Best Smartphone Under 25000 💯
.
Key Specs :- 
8 GB RAM | 256 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
108MP + 13MP + 2MP | 50MP Front Camera
5000 mAh Lithium-ion Polymer Battery
Dimensity 8020 Processor
.
#infinix #infinixzero305g #android #androidphone #budgetphone #smartphone #amazongadgets #tech #techreels #budget #gadgets #uniquegadgets #techunboxing #reelsinstagram","#infinix, #infinixzero305g, #android, #androidphone, #budgetphone, #smartphone, #amazongadgets, #tech, #techreels, #budget, #gadgets, #uniquegadgets, #techunboxing, #reelsinstagram"
