Date,Time,Views,Caption,Hashtags
2023-11-07,14:48:11,81766,"Sahi kya hai😅
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-11-06,12:18:56,65881,आकाशवायुअग्निजलपृथ्वी…#TGFamily 🔥 🔥 🔥,#TGFamily
2023-11-05,16:50:13,75012,"Apni #TeamIndia ke aage ko bol sakta hai kyaaaa?? Indiaaaaaa...India...🇮🇳🇮🇳🇮🇳
#CWC23 #INDvSA 
#TGFamily 🔥 🔥 🔥","#TeamIndia, #CWC23, #INDvSA, #TGFamily"
2023-11-05,05:53:34,780848,"Happy birthday #KingKohli @virat.kohli 
#TGFamily 🔥 🔥 🔥","#KingKohli, #TGFamily"
2023-11-04,06:57:52,104319,"🔥🔥🔥
#TGFamily",#TGFamily
2023-11-03,09:58:10,486587,"Special @cmf.tech #Giveaway for #TGFamily 🔥 🔥 🔥 
How to participate: 
1. Like and Share this Reel.
2. Follow @technicalguruji and @cmf.tech 
3. Tag 3 friends in comments.
4. Drop a cool comment.
5. Muskurate raho🤗","#Giveaway, #TGFamily"
2023-11-02,15:09:32,355838,History repeats itself...#INDvSL #CWC23 #TGFamily 🔥 🔥 🔥,"#INDvSL, #CWC23, #TGFamily"
2023-11-01,16:25:39,531975,"Capturing the special #Moon on #KarwaChauth with my special camera...
#TGFamily 🔥 🔥 🔥","#Moon, #KarwaChauth, #TGFamily"
2023-11-01,08:52:14,275456,Ram Ram Bhai Saareya Ne.....Challiye Shuru Karte Hai🤪🔥,
2023-10-30,08:26:20,142763,"GOKU loves to Roll in the Royce...
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-28,10:05:52,221502,"Abhi yaad aaya USA trip ki flights book karni hai...
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-27,15:39:36,203469,"Always jealous of friends, when all they have to do is ""Nothing""😅
Celebrating 3 years of @nothing #TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-26,09:58:49,284528,"Jee Haan Dosto😂 😂 😂 
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-24,12:56:43,77947,"Wishing a very happy birthday to Hon'ble @official.anuragthakur ji..Your vision for sports has taken Bharat to new heights..🇮🇳
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-23,16:29:46,89801,"Itni khushi...Itni khushi...😂
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-21,04:43:27,2315974,"Ram Ram Bhai Sareya Ne🙏

#TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-19,08:40:45,114018,"Me: when do we get #makeinindia #Pixel8 ?
@googleindia : Chaliye Shuru Karte Hai...

It was an insightful interaction with @ashwini.vaishnaw sir about #AI and much more at #GoogleForIndia 

#TGFamily 🔥 🔥 🔥","#makeinindia, #Pixel8, #AI, #GoogleForIndia, #TGFamily"
2023-10-18,10:58:51,92885,"Side mein kya dekh raha hu??
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-16,14:23:08,125488,"BGMI in Real Life...
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-15,10:41:47,1225383,Sabhi ko Ram Ram aur bahut bahut badhai...#INDVPAK #CWC23 #TGFamily 🔥 🔥 🔥,"#INDVPAK, #CWC23, #TGFamily"
2023-10-15,07:30:39,473564,Ekdum asli vibe hai..Our #Kalaastar @yoyohoneysingh bhaiya...,#Kalaastar
2023-10-15,07:14:14,218333,"Our own #DesiKalakar the #Kalaastar one and only @yoyohoneysingh bhaiya...Aag laga di hai poori🔥
#TGFamily 🔥 🔥 🔥","#DesiKalakar, #Kalaastar, #TGFamily"
2023-10-15,04:20:29,18773,"Chandrayan3 Maha Quiz has received resounding response!

Tune in to the exclusive Podcast featuring ISRO Chief S. Somnath with Technical Guruji! and 🚀 Discover the untold story behind Chandrayaan 3.

Link in bio 

🛰️✨ #ISROInsights #Chandrayaan3mahaquiz #FutureInnovation

@isro.dos","#ISROInsights, #Chandrayaan3mahaquiz, #FutureInnovation"
2023-10-14,15:28:17,261926,The energy of Bharat🇮🇳🇮🇳🇮🇳8-0😂 #INDvPAK #CWC23 #TGFamily 🔥 🔥 🔥,"#INDvPAK, #CWC23, #TGFamily"
2023-10-14,06:37:50,313237,"Chaliye Shuru Karte Hai🇮🇳🇮🇳🇮🇳
#INDvPAK #CWC23 #TGFamily 🔥 🔥 🔥","#INDvPAK, #CWC23, #TGFamily"
2023-10-13,13:30:02,150697,Flights✅...Hotel✅...Tickets✅...World Cup bhi✅...Mauka nahi aata is baar bhi...All set for #INDvPAK #CWC23,"#INDvPAK, #CWC23"
2023-10-13,07:10:44,142683,"An apple a day...#TGFamily 🔥 🔥 🔥 
📷 @joshuakarthikr",#TGFamily
2023-10-12,12:43:37,326390,I got @nothing ...#TGFamily 🔥 🔥 🔥,#TGFamily
2023-10-11,13:28:16,672969,Maja aa gaya...#MundraPort #TGFamily 🔥 🔥 🔥,"#MundraPort, #TGFamily"
2023-10-10,10:19:50,280196,In the 90s...#aigenerated #yearbookchallenge #TGFamily 🔥 🔥 🔥,"#aigenerated, #yearbookchallenge, #TGFamily"
2023-10-09,13:35:33,134457,"What our #ISRO Chairman, Shri S Somanath Sir has to say about #Aliens? #TGFamily 🔥 🔥 🔥","#ISRO, #Aliens, #TGFamily"
2023-10-09,09:32:46,89485,"After a long conversation with #ISRO Chairman, Shri S Somanath Sir, I got to know so much about the past, present and future of #ISRO.. Full video is live on @YouTube 
India is rising 🇮🇳🇮🇳🇮🇳","#ISRO, #ISRO"
2023-10-08,09:37:33,48377,🇮🇳🇮🇳🇮🇳 #JaiHo 🔥🔥🔥,#JaiHo
2023-10-08,08:06:35,162327,One at a time...Long way to go...#TGFamily 🔥 🔥 🔥,#TGFamily
2023-10-07,12:46:40,470123,"This iPhone Call Recorder can record all kinds of phone calls including WhatsApp calls, FaceTime Calls, Skype, zoom etc...
Share with all iPhone users... #TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-07,07:14:11,80215,"Chaliye shuru karte hai 🔥🔥🔥
#TGFamily",#TGFamily
2023-10-06,09:00:46,29592,My new #GooglePixel8Pro is here...#TGFamily 🔥 🔥 🔥,"#GooglePixel8Pro, #TGFamily"
2023-10-05,09:18:12,24802,The new #GooglePixel8 and #GooglePixel8Pro along with the #GooglePixelWatch2 just launched in India... @madebygoogle #TGFamily 🔥 🔥 🔥,"#GooglePixel8, #GooglePixel8Pro, #GooglePixelWatch2, #TGFamily"
2023-10-05,08:21:16,289175,"Jag ghumeya @google jaisa na koi...Jag bhi @googlemaps pe hi ghumeya😅
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-10-05,04:03:04,15309,"Why is Data #Privacy so important? 

Watch as I and @technicalguruji discuss the impact of Digital Personal #DataBreach-
https://www.youtube.com/watch?v=NusmNRZlIyU&t=381s

#DPDPAct #OSTA #NewIndia #IndiaTechade","#Privacy, #DataBreach, #DPDPAct, #OSTA, #NewIndia, #IndiaTechade"
2023-10-04,13:12:40,78245,"With the launch of all new #GalaxyS23FE it's time to celebrate for #SamsungFans with my good friends at @samsungindia 
#TGFamily 🔥 🔥 🔥","#GalaxyS23FE, #SamsungFans, #TGFamily"
2023-10-03,15:03:32,111781,"We asked around London about the new @cmf.tech products with @technicalguruji.

What’s your favourite CMF product?👇🏼 Comment below & follow @cmf.tech and we will pick 10 of you within 48 hours and ship it to you.",
